,zip,zip add,Lat,Lng
125,34311,"34311, Germany",51.2289869,9.174478299999999
126,39110,"39110, Germany",52.1286374,11.5884201
127,14167,"14167, Germany",52.419446,13.2758872
128,82396,"82396, Germany",47.9250485,11.1619244
129,44581,"44581, Germany",51.6002294,7.3239725
130,86687,"86687, Germany",48.7710618,10.7576408
131,25712,"25712, Germany",54.0025805,9.239481
132,4249,"04249, Germany",51.27898889999999,12.2965373
133,79400,"79400, Germany",47.6964378,7.6530085
134,31180,"31180, Germany",52.2140327,9.8819352
135,71111,"71111, Germany",48.6338945,9.129683199999999
136,36396,"36396, Germany",50.3265689,9.4469967
137,73269,"73269, Germany",48.6971758,9.4713598
138,59067,"59067, Germany",51.66302220000001,7.7868698
139,86653,"86653, Germany",48.8337029,10.8480002
140,4880,"04880, Germany",51.6386699,12.8791665
141,42929,"42929, Germany",51.1030829,7.2240777
142,56479,"56479, Germany",50.576686,8.04837
143,88410,"88410, Germany",47.912941,9.8860321
144,75181,"75181, Germany",48.8565558,8.7404424
145,78073,"78073, Germany",47.97693330000001,8.6023588
146,79725,"79725, Germany",47.5840717,8.0635707
147,34431,"34431, Germany",51.4551847,8.8465078
148,15366,"15366, Germany",52.502411,13.6612383
149,35457,"35457, Germany",50.6469839,8.7035561
150,54636,"54636, Germany",49.9978924,6.4962668
151,26215,"26215, Germany",53.2551955,8.1133914
152,90411,"90411, Germany",49.4904742,11.0986834
153,69226,"69226, Germany",49.317469,8.703350799999999
154,78112,"78112, Germany",48.12639970000001,8.3371401
155,26127,"26127, Germany",53.1682014,8.1958833
156,22851,"22851, Germany",53.7013844,10.0480353
157,37627,"37627, Germany",51.8516463,9.6103261
158,39167,"39167, Germany",52.1351762,11.5013104
159,89233,"89233, Germany",48.3886955,10.0672216
160,72461,"72461, Germany",48.2759019,9.0082162
161,81247,"81247, Germany",48.1684361,11.4659094
162,53913,"53913, Germany",50.6923636,6.9222034
163,35647,"35647, Germany",50.4348085,8.497105399999999
164,74072,"74072, Germany",49.1423079,9.2148545
165,6869,"06869, Germany",51.9381058,12.4305467
166,14727,"14727, Germany",52.5394578,12.3564309
167,29336,"29336, Germany",52.5562744,10.1044526
168,15711,"15711, Germany",52.2948636,13.6267189
169,58675,"58675, Germany",51.3734917,7.7669715
170,4509,"04509, Germany",51.5233472,12.3029551
171,63069,"63069, Germany",50.07477009999999,8.755732
172,66123,"66123, Germany",49.2489232,7.017558999999999
173,9128,"09128, Germany",50.801795,13.020846
174,53819,"53819, Germany",50.8552827,7.331858599999999
175,15345,"15345, Germany",52.6251837,13.9108692
176,21031,"21031, Germany",53.5058423,10.199618
177,6526,"06526, Germany",51.4976997,11.2981903
178,76773,"76773, Germany",49.1448168,8.3135697
179,18211,"18211, Germany",54.1357268,11.9556088
180,23999,"23999, Germany",53.99860830000001,11.4394866
181,87600,"87600, Germany",47.876303,10.6260634
182,95503,"95503, Germany",49.8949337,11.5061666
183,39343,"39343, Germany",52.22486019999999,11.3045259
184,68804,"68804, Germany",49.29913759999999,8.5039458
185,55596,"55596, Germany",49.8152836,7.7178464
186,54616,"54616, Germany",50.2123101,6.2113836
187,6785,"06785, Germany",51.798022,12.4046455
188,56856,"56856, Germany",50.0324264,7.196498099999999
189,56766,"56766, Germany",50.1868515,7.002456599999999
190,56424,"56424, Germany",50.4716512,7.835278700000001
191,48499,"48499, Germany",52.3147686,7.338750399999999
192,54612,"54612, Germany",50.1108354,6.480198499999999
193,33829,"33829, Germany",52.1025558,8.2813014
194,71287,"71287, Germany",48.8465917,8.9355824
195,74379,"74379, Germany",48.9610183,9.1817156
196,84424,"84424, Germany",48.2112615,12.0571467
197,45481,"45481, Germany",51.3882662,6.8566061
198,26605,"26605, Germany",53.4668022,7.538233399999998
199,3116,"03116, Germany",51.65574669999999,14.2241663
200,22880,"22880, Germany",53.5936117,9.699175499999999
201,82031,"82031, Germany",48.0437952,11.5299615
202,97215,"97215, Germany",49.5362231,10.218784
203,34355,"34355, Germany",51.3379002,9.6569153
204,76646,"76646, Germany",49.1064222,8.5933513
205,66482,"66482, Germany",49.2419805,7.3734397
206,66957,"66957, Germany",49.1290977,7.5449906
207,65207,"65207, Germany",50.135243,8.3014158
208,34414,"34414, Germany",51.4756133,9.1309863
209,68623,"68623, Germany",49.5941455,8.4962394
210,35440,"35440, Germany",50.5326418,8.6784939
211,1662,"01662, Germany",51.1632952,13.475152
212,49536,"49536, Germany",52.145326,7.9739767
213,25836,"25836, Germany",54.3302545,8.7822329
214,31787,"31787, Germany",52.1082884,9.341938899999999
215,38446,"38446, Germany",52.3861406,10.8523296
216,93128,"93128, Germany",49.1505482,12.165734
217,52525,"52525, Germany",51.04119379999999,6.104102
218,75245,"75245, Germany",48.9703747,8.7117688
219,47228,"47228, Germany",51.4237748,6.698690000000001
220,79588,"79588, Germany",47.6622455,7.571483499999999
221,31860,"31860, Germany",52.01726559999999,9.411423899999999
222,26340,"26340, Germany",53.3963896,7.9521674
223,29644,"29644, Germany",34.6785692,-82.1931149
224,14532,"14532, Germany",52.3614714,13.1900245
225,81825,"81825, Germany",48.12161380000001,11.6542179
226,95355,"95355, Germany",50.2283327,11.5556988
227,55452,"55452, Germany",49.8915878,7.844575499999999
228,49377,"49377, Germany",52.7349335,8.288049599999999
229,1945,"01945, Germany",51.4566131,13.8642648
230,51503,"51503, Germany",50.9062084,7.186445699999999
231,50829,"50829, Germany",50.9829287,6.8693678
232,54296,"54296, Germany",49.72881049999999,6.6820754
233,74889,"74889, Germany",49.24662499999999,8.8948387
234,67454,"67454, Germany",49.3445569,8.2667228
235,52393,"52393, Germany",50.70257369999999,6.3786897
236,33415,"33415, Germany",51.86091279999999,8.529086699999999
237,74535,"74535, Germany",49.07805399999999,9.557513199999999
238,53859,"53859, Germany",50.80957679999999,7.0563538
239,36341,"36341, Germany",50.6463321,9.3647584
240,77781,"77781, Germany",48.3390059,8.031707299999999
241,21481,"21481, Germany",53.3870985,10.519811
242,37574,"37574, Germany",51.8400755,9.8768862
243,71540,"71540, Germany",48.97588649999999,9.598217499999999
244,56410,"56410, Germany",50.4333344,7.8048883
245,65375,"65375, Germany",50.0414604,8.0024184
246,76829,"76829, Germany",49.193521,8.0948586
247,53945,"53945, Germany",50.4130038,6.7376022
248,45966,"45966, Germany",51.5876645,6.9664828
249,48429,"48429, Germany",52.2908515,7.464065000000001
250,70439,"70439, Germany",48.8463365,9.1573655
251,38442,"38442, Germany",52.4226485,10.6896793
252,79618,"79618, Germany",47.5896468,7.768778999999999
253,37619,"37619, Germany",51.9552167,9.5182385
254,19372,"19372, Germany",53.4076453,11.7224311
255,33189,"33189, Germany",51.8406829,8.8023317
256,18586,"18586, Germany",54.3421094,13.694125
257,6369,"06369, Germany",51.713486,12.0183022
258,14193,"14193, Germany",52.4675293,13.2107327
259,53902,"53902, Germany",50.5326569,6.8049149
260,84419,"84419, Germany",48.2717381,12.2587699
261,41849,"41849, Germany",51.1130534,6.1328887
262,64165,"64165, Germany",na,na
263,86486,"86486, Germany",48.4432777,10.7145772
264,66500,"66500, Germany",49.1865107,7.3652243
265,69483,"69483, Germany",49.5782854,8.8433733
266,67661,"67661, Germany",49.40833809999999,7.7156151
267,85521,"85521, Germany",48.0598428,11.6681225
268,17375,"17375, Germany",53.7153729,14.1598146
269,8529,"08529, Germany",50.4943032,12.1729563
270,18551,"18551, Germany",54.52774600000001,13.5534663
271,56294,"56294, Germany",50.24826660000001,7.362439699999999
272,71263,"71263, Germany",48.7515726,8.8544372
273,50769,"50769, Germany",51.0560173,6.874194399999999
274,22339,"22339, Germany",53.6447228,10.0383761
275,78713,"78713, Germany",48.2341583,8.4374662
276,66453,"66453, Germany",49.149682,7.2239935
277,69412,"69412, Germany",49.4733124,9.0061295
278,85410,"85410, Germany",48.4585956,11.8326742
279,66787,"66787, Germany",49.25680759999999,6.8010294
280,26826,"26826, Germany",53.1441593,7.321469500000001
281,71254,"71254, Germany",48.8387496,9.035668099999999
282,76530,"76530, Germany",48.7581482,8.2223291
283,74080,"74080, Germany",49.1376432,9.1776059
284,18546,"18546, Germany",54.5328678,13.6356184
285,44532,"44532, Germany",51.6003281,7.530896500000001
286,9326,"09326, Germany",51.0778024,12.9057027
287,24799,"24799, Germany",54.3193546,9.409897899999999
288,96465,"96465, Germany",50.30318279999999,11.1129024
289,88131,"88131, Germany",47.56270869999999,9.6765519
290,21698,"21698, Germany",53.45911049999999,9.4720129
291,1744,"01744, Germany",50.87331469999999,13.6365623
292,41569,"41569, Germany",51.0514549,6.6820125
293,31228,"31228, Germany",52.3405423,10.1876714
294,64395,"64395, Germany",49.77006799999999,8.8908969
295,25849,"25849, Germany",54.5304821,8.6565662
296,56288,"56288, Germany",50.0713228,7.4451128
297,23843,"23843, Germany",53.8013492,10.3523426
298,15827,"15827, Germany",52.3305353,13.4132058
299,31073,"31073, Germany",51.9231057,9.7779699
300,31848,"31848, Germany",52.2184983,9.437488799999999
301,65510,"65510, Germany",50.240987,8.257301199999999
302,17034,"17034, Germany",53.57466489999999,13.2829207
303,17309,"17309, Germany",53.50256580000001,13.9995295
304,55130,"55130, Germany",49.9516812,8.322872799999999
305,59821,"59821, Germany",51.3743121,8.066182099999999
306,46149,"46149, Germany",51.5217616,6.8293458
307,12559,"12559, Germany",52.416925,13.6492904
308,17495,"17495, Germany",53.9769292,13.5488964
309,41352,"41352, Germany",51.1956517,6.545060899999999
310,98716,"98716, Germany",50.71812449999999,10.8467402
311,58332,"58332, Germany",51.2829475,7.291009299999999
312,82205,"82205, Germany",48.1156672,11.2640182
313,49328,"49328, Germany",52.1965255,8.450057800000002
314,56357,"56357, Germany",50.1917699,7.7704523
315,19055,"19055, Germany",53.65813559999999,11.4342024
316,4416,"04416, Germany",51.2700347,12.3804126
317,41542,"41542, Germany",51.09943930000001,6.7594436
318,42489,"42489, Germany",51.28792139999999,7.0382833
319,84034,"84034, Germany",48.5304884,12.093825
320,47119,"47119, Germany",51.4534764,6.7325141
321,85640,"85640, Germany",48.0861692,11.7054427
322,1445,"01445, Germany",51.1115439,13.6433181
323,44869,"44869, Germany",51.4492114,7.159798599999999
324,17168,"17168, Germany",53.8825629,12.5868168
325,31600,"31600, Germany",52.5175929,8.9066686
326,25436,"25436, Germany",53.6833851,9.6710706
327,93158,"93158, Germany",49.220674,12.0848844
328,27726,"27726, Germany",53.2381881,8.9534183
329,64653,"64653, Germany",49.6506474,8.5654892
330,86399,"86399, Germany",48.2831997,10.7807733
331,59969,"59969, Germany",51.11265290000001,8.6196383
332,41363,"41363, Germany",51.0934811,6.494853699999999
333,73450,"73450, Germany",48.7890464,10.3426985
334,37136,"37136, Germany",51.5407073,10.1629761
335,67480,"67480, Germany",49.2933076,8.0533059
336,6386,"06386, Germany",51.77197169999999,12.073529
337,81735,"81735, Germany",48.1091485,11.6463656
338,82266,"82266, Germany",48.0762653,11.1523493
339,63654,"63654, Germany",50.30017309999999,9.1281263
340,46459,"46459, Germany",51.7853234,6.3765753
341,31008,"31008, Germany",52.1216559,9.7050247
342,39245,"39245, Germany",52.07481749999999,11.8235871
343,59510,"59510, Germany",51.6797982,8.0867078
344,85716,"85716, Germany",48.2821764,11.5620403
345,25704,"25704, Germany",54.1040117,9.0622852
346,76684,"76684, Germany",49.1856005,8.759304499999999
347,63619,"63619, Germany",50.2072617,9.3797714
348,60322,"60322, Germany",50.1248611,8.6752346
349,26603,"26603, Germany",53.47282670000001,7.485800999999999
350,17358,"17358, Germany",53.6223109,14.0136372
351,35080,"35080, Germany",50.7563816,8.4784238
352,13403,"13403, Germany",52.57405079999999,13.318645
353,33611,"33611, Germany",52.04868159999999,8.548692299999999
354,14476,"14476, Germany",52.4699198,12.9965755
355,28844,"28844, Germany",52.98633719999999,8.8420828
356,58239,"58239, Germany",51.4289295,7.565631499999999
357,45475,"45475, Germany",51.45708579999999,6.8970064
358,83727,"83727, Germany",47.6926801,11.8753636
359,83684,"83684, Germany",47.719431,11.7623847
360,23627,"23627, Germany",53.80146879999999,10.7503478
361,3050,"03050, Germany",51.7346666,14.3373837
362,59514,"59514, Germany",51.6116713,7.9982395
363,41466,"41466, Germany",51.1605128,6.7016069
364,4758,"04758, Germany",51.3491511,13.1111395
365,37431,"37431, Germany",51.6102792,10.4355016
366,66606,"66606, Germany",49.4491481,7.1621763
367,26817,"26817, Germany",53.13011909999999,7.5456732
368,45470,"45470, Germany",51.4059514,6.9143789
369,46286,"46286, Germany",51.74895590000001,7.013875899999999
370,9243,"09243, Germany",50.8835205,12.7378334
371,40883,"40883, Germany",51.3300918,6.9097177
372,63512,"63512, Germany",50.07097599999999,8.9404065
373,2906,"02906, Germany",51.2846918,14.705929
374,78187,"78187, Germany",47.904151,8.6421418
375,38542,"38542, Germany",52.4457083,10.4337596
376,47626,"47626, Germany",51.5930063,6.312603699999999
377,49525,"49525, Germany",52.16494059999999,7.839039699999999
378,4862,"04862, Germany",51.5077396,12.8169302
379,86850,"86850, Germany",48.295026,10.6549817
380,58285,"58285, Germany",51.3370571,7.3522193
381,26725,"26725, Germany",53.3544421,7.249148
382,55743,"55743, Germany",49.7142606,7.344785799999999
383,86633,"86633, Germany",48.7292593,11.1924711
384,72355,"72355, Germany",48.2069452,8.7578166
385,88605,"88605, Germany",47.9782121,9.1012794
386,35713,"35713, Germany",50.8069042,8.3590565
387,6667,"06667, Germany",51.2095819,11.9452512
388,3130,"03130, Germany",51.5837985,14.3759135
389,28790,"28790, Germany",53.2444387,8.575040099999999
390,73525,"73525, Germany",48.79376850000001,9.798885199999999
391,42115,"42115, Germany",51.2533735,7.1170563
392,76877,"76877, Germany",49.1940967,8.1901701
393,19061,"19061, Germany",53.590317,11.3977818
394,73579,"73579, Germany",48.8721251,9.9208435
395,88364,"88364, Germany",47.82569789999999,9.7986382
396,32257,"32257, Germany",52.198835,8.5777547
397,10785,"10785, Germany",52.50691150000001,13.3650508
398,40822,"40822, Germany",51.25439069999999,6.9831962
399,46397,"46397, Germany",51.8446261,6.645786
400,85405,"85405, Germany",48.5255053,11.8031235
401,39128,"39128, Germany",52.1675522,11.6142631
402,99706,"99706, Germany",51.3657675,10.8994267
403,1825,"01825, Germany",50.8618191,13.8521893
404,74399,"74399, Germany",49.01577409999999,9.141143999999999
405,92345,"92345, Germany",49.0366957,11.585937
406,14482,"14482, Germany",52.3875629,13.1028717
407,98663,"98663, Germany",50.2795,10.7245549
408,79774,"79774, Germany",47.6247779,8.117694799999999
409,72172,"72172, Germany",48.3650475,8.6333682
410,40699,"40699, Germany",51.2208468,6.928271199999999
411,35630,"35630, Germany",50.6189136,8.3563818
412,86830,"86830, Germany",48.1993161,10.7096768
413,51545,"51545, Germany",50.85912889999999,7.5981332
414,55129,"55129, Germany",49.9406587,8.2607044
415,53773,"53773, Germany",50.76354019999999,7.294612400000001
416,6406,"06406, Germany",51.7804998,11.781959
417,21483,"21483, Germany",53.434787,10.547205
418,26316,"26316, Germany",53.39451949999999,8.1404134
419,89420,"89420, Germany",48.6042127,10.5888474
420,1796,"01796, Germany",50.9397088,13.9671509
421,21075,"21075, Germany",53.45994049999999,9.9288308
422,24376,"24376, Germany",54.6746346,9.940032
423,41372,"41372, Germany",51.2168087,6.155755099999999
424,89257,"89257, Germany",48.2237887,10.1112171
425,96365,"96365, Germany",50.36361549999999,11.5082201
426,81477,"81477, Germany",48.0834915,11.5101041
427,27367,"27367, Germany",53.0987094,9.2151487
428,27624,"27624, Germany",53.6247038,8.8415435
429,47918,"47918, Germany",51.3274683,6.443845199999999
430,93474,"93474, Germany",49.19762249999999,12.9962056
431,46399,"46399, Germany",51.8454749,6.604128299999999
432,1689,"01689, Germany",51.1810234,13.5509434
433,19057,"19057, Germany",53.6477555,11.3537881
434,53505,"53505, Germany",50.5482946,6.9949264
435,37603,"37603, Germany",51.784752,9.5161932
436,71665,"71665, Germany",48.9456327,8.9670738
437,79736,"79736, Germany",47.6213594,7.9826079
438,35745,"35745, Germany",50.6859062,8.2960569
439,40489,"40489, Germany",51.3305246,6.7625867
440,97340,"97340, Germany",49.62522200000001,10.1439328
